Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,0,0,title,words
1,1,1,1,1,1,partie,part
2,2,2,3,3,3,chercher,search
3,3,3,7,8,8,genre,kind
4,4,4,8,9,9,mois,month
5,5,5,11,12,12,car,because
6,6,6,12,13,13,mettre,to put
8,8,8,14,15,15,laisse,leash
9,9,9,15,16,16,eux,them
10,10,10,16,17,17,ville,city
11,11,11,17,18,18,chaque,each
12,12,12,19,20,20,arrivé,come
13,13,13,21,22,22,bébé,baby
14,14,14,22,23,23,longtemps,long time
15,15,15,23,24,24,heures,hours
16,16,16,24,25,25,vont,will
17,17,17,25,26,26,pendant,while
18,18,18,26,27,27,revoir,meet again
19,19,19,27,28,28,aucune,any
20,20,20,30,31,31,compris,understood
21,21,21,31,32,32,savais,knew
24,24,24,36,37,37,affaire,case
25,25,25,38,39,39,type,type
26,26,26,39,40,40,leurs,their
27,27,27,41,42,42,train,train
28,28,28,42,43,43,endroit,place
29,29,29,46,48,48,trouve,find
30,30,30,47,49,49,premier,first
31,31,31,50,52,52,première,first
32,32,32,51,53,53,côté,side
33,33,34,54,56,56,sois,be
34,34,35,57,59,59,tellement,so much
36,36,37,59,61,61,point,point
37,37,38,60,62,63,suite,after
38,38,39,61,63,64,venez,come
39,39,40,62,64,65,devant,in front of
40,40,41,63,65,66,vers,towards
41,41,42,64,66,67,minutes,minutes
42,42,43,68,70,71,belle,beautiful
43,43,44,71,74,75,mari,husband
44,44,45,74,77,78,espère,hope
45,45,46,75,78,79,eau,water
46,46,47,76,79,80,attendez,Wait
47,48,49,78,81,82,boulot,job
48,49,50,79,82,83,arrêter,Stop
49,50,51,80,83,84,dirait,would say
51,52,53,82,85,86,donne,given
52,53,54,83,86,87,loin,far
53,54,55,84,87,88,fin,end
54,55,56,85,88,89,croire,believe
55,56,57,87,90,91,gros,large
56,57,58,88,91,92,plutôt,rather
57,58,59,90,94,95,jouer,to play
58,59,60,91,95,96,bureau,office
